"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"7899759F57","45223300-9","LAVORI DI COSTRUZIONE DI PARCHEGGI","REALIZZAZIONE DI UN PARCHEGGIO SU AREA ACQUISTATA DALL'UNIVERSITA' DI FOGGIA"
"78859056AB","51510000-0","SERVIZI DI INSTALLAZIONE DI MACCHINARI E ATTREZZATURE DI IMPIEGO GENERALE","FORNITURA E POSA IN OPERA DI CONDIZIONATORI D"
"7963934E3A","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","SEDE DI UFFICI REGIONALI*VIA DANTE 63*RIFACIMENTO BAGNI, ALLESTIMENTO NUOVO BAGNO PER PORTATORI DI HANDICAP E TINTEGGIATURE INTERNE STANZE E CORPO VANO SCALA"
"7964580356","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI RIFACIMENTO DELL'IMPERMEABILIZZAZIONE DEI MARCIAPIEDI E DEL LASTRICO SOLARE DELLA STRUTTURA DI RADIOTERAPIA (PRESIDIO OO.RR.)"
"7969437B73","31321000-2","LINEE DI ALIMENTAZIONE ELETTRICA","FORNITURA E POSA IN OPERA DI LINEA ELETTRICA IN BASSA TENSIONE"
"7964262CE7","33690000-3","MEDICINALI VARI","FORNITURA TRIENNALE DI KIT DIAGNOSTICI PER INFEZIONI GENITALI DA MYCOPLASMA E UREAPLASMA DA DESTINARE ALLA S.C. DI PATOLOGIA CLINICA DEL P.O.C. DELLA ASL TARANTO"
"7963817DAD","38430000-8","APPARECCHI PER ANALISI E RIVELAZIONE","FORNITURA IN SERVICE PER TRE ANNI DI UN SISTEMA AUTOMATICO PER LA MANIPOLAZIONE DI UNITÀ DI CELLULE STAMINALI EMOPOIETICHE COMPLETO DI PROTOCOLLI SOFTWARE DEDICATI E DEI KIT MONOUSO STERILI SPECIFICI LABOTAROIO DI EMATOLOGIA DELLA S.C. DI ONCO-EMATOLOGIA DEL P.O.C. STABILIMENTO S.G.MOSCATI"
"79681071E9","98341140-8","SERVIZI DI VIGILANZA DI EDIFICI","SERVIZIO DI CUSTODIA E VIGILANZA ARMATA"
"79326158FA","79341200-8","SERVIZI DI GESTIONE PUBBLICITARIA","SERVIZIO DI AFFISSIONE DEI MANIFESTI COMMISSIONATI AL SERVIZIO DELLE PUBBLICHE AFFISSIONI DEL COMUNE DI TRANI ED ALTRI SERVIZI CONNESSI, PER LA DURATA DI ANNI TRE."
"79490557B2","33197000-7","APPARECCHIATURA MEDICA INFORMATICA","PROCEDURA NEGOZIATA PER LA FORNITURA, DA AFFIDARE CON IL CRITERIO DELLA OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA, IN LOTTO UNICO ED INDIVISIBILE, DI UN SISTEMA PER ANALISI CITOFLUORIMETRICA E FOTOMETRICA DI SPECIFICI BIOMARKERS, IN FAVORE DEL LABORATORIO FARMACOLOGIA SPERIMENTALE DELL'IRCCS ISTITUTO TUMORI 'GIOVANNI PAOLO II' DI BARI"
"78889431B6","34144512-0","AUTOVEICOLI PER LA RACCOLTA DI RIFIUTI CON COMPATTATORE","ACQUISTO ATTREZZATURE E MATERIALI DI CONSUMO PER AVVIO SERVIZIO RACCOLTA PORTA A PORTA"
"791228829D","34144512-0","AUTOVEICOLI PER LA RACCOLTA DI RIFIUTI CON COMPATTATORE","FORNITURA AUTOMEZZI PER L'IMPLEMENTAZIONE DEL SERVIZIO DOMICILIARE C.D. 'PORTA A PORTA' DI RACCOLTA DEI RIFIUTI SOLIDI URBANI, MEDIANTE PROCEDURA APERTA, SOPRA SOGLIA, AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016, DA AGGIUDICARE CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA, IN MODALITÀ TELEMATICA."
"7961324466","71335000-5","STUDI DI INGEGNERIA","AFFIDAMENTO DEL SERVIZIO DI DIRETTORE OPERATIVO  PER TUTTI GLI ASPETTI RIGUARDANTI LA REALIZZAZIONE DEGLI IMPIANTI ED IL COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE NELL'AMBITO DEI DEI LAVORI DI 'ADEGUAMENTO, MESSA A NORMA, MIGLIORAMENTO ENERGETICO E SISMICO DELLA CASA DI RIPOSO S. FRANCESCO'"
"79617850D5","90733100-5","SERVIZI DI MONITORAGGIO O CONTROLLO DELL'INQUINAMENTO DELLE ACQUE DI SUPERFICIE","SERVIZIO DI ANALISI CHIMICHE, CARATTERIZZAZIONE RIFIUTO ED EMISSIONI IN ATMOSFERA"
"7923659A40","71311100-2","SERVIZI DI ASSISTENZA IN INGEGNERIA CIVILE","SERVIZI DI INGEGNERIA PER DIREZIONE DEI LAVORI E CSE PER I LAVORI DI REALIZZAZIONE DI UNA STRUTTURA SANITARIA DA ADIBIRE AD HOSPICE PRESSO IL PTA DI MESAGNE"
"7950568843","33680000-0","ARTICOLI DI FARMACIA","PROCEDURA NEGOZIATA TELEMATICA AI SENSI DELLÌART. 63 COMMA 2, LETT.B) DEL D.LGS 50/2016 PER L'AFFIDAMENTO DELLA FORNITURA DEL FARMACO TOLVAPTAN"
"792708122F","98341120-2","SERVIZI DI PORTINERIA","SERVIZIO DI PORTIERATO E ALTRE MANSIONI ACCESSORIE"
"7941928E4D","42995000-7","MACCHINE VARIE PER PULIZIA","PROCEDURA NEGOZIATA EX ART. 36, COMMA 2, LETT. B) PER LA FORNITURA DI N. 20 LAVASCIUGA SNODATE, N. 9 SISTEMI CARRELLATI MULTI FUNZIONE, N. 8 MACCHINE TIPO NO-TOUCH ED ALTRI MACCHINARI"
"7956741E60","79635000-4","SERVIZI DI CENTRI DI VALUTAZIONE PER RECLUTAMENTO","SUPPORTO ORGANIZZAZIONE E REALIZZAZIONE DI SELEZIONI DI PERSONALE 4 PROCEDURE"
"79362955D0","71632000-7","SERVIZI DI COLLAUDO TECNICO","PRESIDENTE DELLA COMMISSIONE DI COLLAUDO TECNICO-AMMINISTRATIVO, REVISIONE TECNICO-CONTABILE, IN CORSO D'OPERA E FINALE E ATTESTATO DI PRESTAZIONE ENERGETICA- ESPERTO STRUTTURISTA ED EDILE-COLLAUDATORE STATICO"
"7947533FB1","33125000-2","APPARECCHI PER CONTROLLI UROLOGICI","FORNITURA PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA DI UN'APPARECCHIATURA PER BIOPSIA PROSTATICA FUSION DA DESTINARE ALLE STRUTTURE DI UROLOGIA DEL P.O.CENTRALE - STABILIMENTO 'SS. ANNUNZIATA'  E DEL P.O. VALLE D'ITRIA"
"79568253B5","33184100-4","PROTESI CHIRURGICHE","PROCEDURA DI GARA EX ART. 36, COMMA 2, LETT. B) DEL D.LGS. N. 50 DEL 18 APRILE 2016 E SMI, IN FORMA TELEMATICA, PER LA FORNITURA IN SOMMINISTRAZIONE, DI PROTESI CRANICA "
"7947046DCF","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA N. 76 FRIGORIFERI PER CONSERVAZIONE DI FARMACI DA ASSEGNARE ALLE STRUTTURE OSPEDALIERE DELL'ASL DI LECCE"
"7950925EDC","33130000-0","STRUMENTI E DISPOSITIVI ODONTOIATRICI E DI SOTTOSPECIALITÀ","FORNITURA DI N.2 RIUNITI ODONTOIATRICI COMPLETI DI ACCESSORI E ATTREZZATURE VARIE PER LE NECESSITÀ DELL'AMBULATORIO DI ODONTOIATRIA DELLA CASA CIRCONDARIALE DI TARANTO E DEL POLIAMBULATORIO DEL DISTRETTO S.S. UNICO DI TARANTO"
"79520238F7","33170000-2","ANESTESIA E RIANIMAZIONE","FORNITURA DI SISTEMI PER IL MONITORAGGIO DEI PARAMETRI SISTEMICI ED EMODINAMICI DEI PAZIENTI DELLE TERAPIE INTENSIVE E DEI QQ.OO. DELLA ASL TARANTO COMPRENSIVI DI ASSISTENZA TECNICA TRIENNALE POST-GARANZIA FULL RISK"
"7951778EC7","33170000-2","ANESTESIA E RIANIMAZIONE","FORNITURA DI N.6 DEFIBRILLATORI, RELATIVO SERVIZIO DI ASSISTENZA TECNICA TRIENNALE FULL-RISK POST GARANZIA E MATERIALE DI CONSUMO PER ANNI 5 DA DESTINARE ALL'ASL TA"
"795968188C","71335000-5","STUDI DI INGEGNERIA","AFFIDAMENTO SERVIZIO DI DIRETTORE OPERATIVO PER GLI ASPETTI RIGUARDANTI LE STRUTTURE PER I LAVORI DI ADEGUAMENTO . MESSA A NORMA E MIGLIORAMENTO ENERGETICO E SISMICO DELLA CASA DI RIPOSO SAN FRANCESCO"
"79473275B5","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","SONDE DI SENGSTAKEN-  MISURE CH 14-CH 16-CH18-CH21      - LOTTO 1"
"795049298B","33680000-0","ARTICOLI DI FARMACIA","PROCEDURA NEGOZIATA TELEMATICA AI SENSI DELL'ART. 63 COMMA 2, LETT. B DEL D.LGS. 50/2016 PER L'AFFIDAMENTO DELLA FORNITURA DEL FARMACO CANGRELOR TETRASODICO FL. EV 50MG."
"7853593DF4","45454000-4","LAVORI DI RISTRUTTURAZIONE","INTERVENTI STRAORDINARI DI RISTRUTTURAZIONE EDIFICIO SCOLASTICO DELL'INFANZIA RIONE MARTUCCI 2^ CIRCOLO DIDATTICO DI FASANO"
"795046319F","33680000-0","ARTICOLI DI FARMACIA","PROCEDURA NAGOZIATA TELEMATICA AI SENSI DELL'ART. 63 COMMA 2, LETTB) DEL DLGS. 50/2016 PER L'AFFIDAMENTO DELLA FORNITURA DEL FARMACO ZAVICEFTA 2000 MG/500 MG EV"
"7947375D4F","33196200-2","AUSILI PER DISABILI"," FORNITURA DI N. 20 COMUNICATORI OCULARI A SINTESI VOCALE E RELATIVO SERVIZIO DI GESTIONE E ASSISTENZA TECNICA POST GARANZIA TIPO FULL-RISK PER LE NECESSITÀ DEL SERVIZIO DI PSICOLOGIA CLINICA E DI PSICOTERAPIA DELL'ETÀ EVOLUTIVA DELLA ASL TARANTO"
"790548656C","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI ADEGUAMENTO PER TRASFERIMENTO LABORATORIO ANALISI DEL P.O. DI CERIGNOLA (FG)."
"7940299E02","45233128-2","LAVORI DI COSTRUZIONE DI ROTATORIE","LAVORI DI REALIZZAZIONE DELLA ROTATORIA TRA VIA TERLIZZI, VIA BETTINO CRAXI E VIA S. ALLENDE'"
"7948885B67","45215000-7","LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI E SANITARI, CREMATORI E GABINETTI PUBBLICI","PROCEDURA NEGOZIATA DA ESPLETARSI TELEMATICAMENTE TRAMITE PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DEI LAVORI  RELATIVI ALL'ESECUZIONE DI TRINCEE PREVENTIVE DI SCAVO PRESCRITTE DALLA SOPRINTENDENZA ARCHEOLOGIA DI PUGLIA PROPEDEUTICI ALL'AVVIO DEI LAVORI DI REALIZZAZIONE DEL NUOVO OSPEDALE SAN CATALDO DI TARANTO. "
"7964414A57","33680000-0","ARTICOLI DI FARMACIA","FORNITURA URGENTE FARMACO ESCLUSIVO (E CONTINUITÀ TERAPEUTICA)GENOTROPIN MINI VARI DOSAGGI E FORMULAZIONI - PFIZER SRL"
"79477735C2","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","BISTURI STERILI MONOUSO CO DISPOSITIVO DI SICUREZZA - MISURE VARIE : FIG 20-22-15-11-  LOTTO 1 "
"792743457C","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","SERVIZI TECNICI PER I LAVORI DI ADEGUAMENTO ANTINCENDIO DELL'EDIFICIO SCOLASTICO MODUGNO-GALILEI"
"790496142E","45222110-3","LAVORI DI COSTRUZIONE DI DISCARICHE PER RIFIUTI","OPERE DI MESSA IN SICUREZZA DI EMERGENZA DEI LOTTI I, II, III DISCARICA PER RSU SITA IN TRANI E DENOMINATA 'PURO VECCHIO'"
"7950396A52","33680000-0","ARTICOLI DI FARMACIA","PROCEDURA NEGOZIATA TELEMATICA AI SENSI DELL'ART.63,COMMA2,LETT.B), DEL D.LGS. 50/2016 E S.M.I. PER L'AFFIDAMENTO DELLA FORNITURA DEL FARMACO  DARZALEX ( DARATUMUMAB)"
"79241249FB","55523100-3","SERVIZI DI MENSA SCOLASTICA","SERVIZIO MENSA SCOLASTICA PER GLI ALUNNI DELLA SCUOLA DELL'INFANZIA E SCUOLA PRIMARIA PERIODO SETTEMBRE 2019 - MAGGIO 2022"
"79515724CB","98310000-9","SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO","LAVAGGIO INDUMENTI DA LAVORO"
"7906681F8E","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","PROCEDURA APERTA PER L"
"7856435741","45230000-8","LAVORI DI COSTRUZIONE DI CONDUTTURE, LINEE DI COMUNICAZIONE E LINEE ELETTRICHE, AUTOSTRADE, STRADE, CAMPI DI AVIAZIONE E FERROVIE; LAVORI DI LIVELLAMENTO","LAVORI DI 'RIQUALIFICAZIONE DELLE ALBERATURE URBANE E DEI PARCHEGGI PERTINENTI"
"7950545549","85311000-2","SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO","INDIVIDUAZIONE SOGGETTO PARTNER E GESTORE PROGETTO SPRAR"
"7923084FBD","79411000-8","SERVIZI GENERALI DI CONSULENZA GESTIONALE","SERVIZIO DI SUPPORTO TECNICO AI PROCESSI DI PROGRAMMAZIONE, ATTUAZIONE, MONITORAGGIO, GESTIONE E CONTROLLO DEL PON 'INIZIATIVA OCCUPAZIONE GIOVANI' NONCHÉ ALLO SVOLGIMENTO DELLE ATTIVITÀ DI CONTROLLO DI PRIMO LIVELLO RELATIVAMENTE AGLI INTERVENTI POSTI IN ESSERE IN ATTUAZIONE DELLE MISURE DEL PREDETTO PROGRAMMA"
"7892166569","90640000-5","SERVIZI DI PULIZIA A SVUOTAMENTO DI CANALI","ACCORDO QUADRO PER I LAVORI DI MANUTENZIONE DELLE LAME"
"7940920E79","90524400-0","RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI","APPALTO DELLA FORNITURA DEL SERVIZIO DI RACCOLTA, TRASPORTO E SMALTIMENTO RIFIUTI SANITARI"
"787320564C","32344250-3","INSTALLAZIONI RADIOFONICHE","GARA TELEMATICA A PROCEDURA APERTA PER LA 'REALIZZAZIONE DEL SISTEMA DI RADIO-COMUNICAZIONE REGIONALE PER I SERVIZI DI EMERGENZA E URGENZA SANITARIA TERRITORIALE (118) E DI PROTEZIONE CIVILE DELLA REGIONE PUGLIA"
"792405510D","71323200-0","SERVIZI DI PROGETTAZIONE TECNICA DI IMPIANTI","AFFIDAMENTO DELLA PROGETTAZIONE DEFINITIVA ED ESECUTIVA, DIREZIONE LAVORI E ASSISTENZA AL COLLAUDO, RELATIVA AL PROGETTO PER IL SISTEMA DI VIDEOSORVEGLIANZA E DORSALE IN FIBRA OTTICA DEL COMUNE DI CORATO"
"7911758D3B","45312100-8","LAVORI DI INSTALLAZIONE DI SISTEMI D'ALLARME ANTINCENDIO","ADEGUAMENTO NORME PREVENZIONE INCENDIO DEGLI EDIFICI SCOLASTICI SAN GIOVANNI BOSCO - MADRE TERESA DI CALCUTTA - RONCALLI"
"7901167944","51430000-5","SERVIZI DI INSTALLAZIONE DI ATTREZZATURE PER LABORATORIO","PROCEDURA APERTA DI GARA DA ESPLETARSI TELEMATICAMENTE SU PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DELLA FORNITURA E POSA IN OPERA DELL'IMPIANTO DI TRATTAMENTO E DISTRIBUZIONE ACQUA PER IL REPARTO DI DIALISI DEL P.O. SS. ANNUNZIATA DI TARANTO COMPRENSIVA DEL SERVIZIO DI ASSISTENZA TECNICA E MANUTENZIONE POST-GARANZIA FULLRISK PER 36 MESI."
"79135346D7","48610000-7","SISTEMI DI BASE DATI","FORNITURA E SVILUPPO DI UN SISTEMA DI ENTERPRISE RESOURCE PLANNING (ERP) IN CLOUD"
"7893413A76","45262522-6","LAVORI EDILI","LAVORI DI REALIZZAZIONE DELLA NUOVA AREA MERCATALE "
"79124464FF","39290000-1","ARREDAMENTO VARIO","FORNITURA ARREDI PER LABORATORIO MUSICALE BIBLIOTECA RENDELLA"
"76392826EE","45212200-8","LAVORI DI COSTRUZIONE DI IMPIANTI SPORTIVI","RIGENERAZIONE URBANA E COMPLETAMENTO AREA SPORTIVA COMUNALE ESISTENTE - PALASPORT COMUNALE'"
"790799189C","90511100-3","SERVIZI DI RACCOLTA DI RIFIUTI SOLIDI URBANI","SERVIZIO INTEGRATO DI RACCOLTA, TRASPORTO E SPAZZAMENTO RIFIUTI E SERVIZI COMPLEMENTARI - GARA PONTE 24 MESI "
"7940044B94","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","PROCEDURA NEGOZIATA DA ESPLETARSI IN MANIERA TELEMATICA TRAMITE PIATTAFORMA EMPULIA, PER L'AFFIDAMENTO DEL SERVIZIO DI  PROGETTAZIONE ESECUTIVA RELATIVO AGLI 'INTERVENTI DI EFFICIENTAMENTO ENERGETICO DEL PRESIDIO OSPEDALIERO VALLE D'ITRIA DI MARTINA FRANCA.  "
"7910748BC1","65310000-9","EROGAZIONE DI ENERGIA ELETTRICA","FORNITURA DI ENERGIA ELETTRICA A PREZZO FISSO DI TIPO CONTINUO E ININTERROMPIBILE PER I PUNTI DI PRELIEVO INDICATI ALIMENTATI IN MEDIA E BASSA TENSIONE IN FAVORE DEGLI ENTI: REGIONE PUGLIA, SOCIETÀ ACQUEDOTTO PUGLIESE, INNOVAPUGLIA, PUGLIA SVILUPPO E DELL'AGENZIA ARPA PUGLIA."
"79252879B8","33124100-6","APPARECCHI DIAGNOSTICI","SISTEMA ANALITICO PER ACIDI NUCLEICI AD ALTA RISOLUZIONE SENZA NECESSITÀ DI MODIFICAZIONI ENZIMATICHE DA DESTINARSI ALLA SC EMATOLOGIA DELL"
"792586243B","90430000-0","SERVIZI DI SMALTIMENTO DELLE ACQUE REFLUE","SERVIZIO DI PRELIEVO, TRASPORTO E SMALTIMENTO ACQUE DI LAVAGGIO"
"7935819CFF","33160000-9","TECNICA OPERATORIA","FORNITURA DI UN'APPARECCHIATURA PER SCRAMBLER THERAPY E RELATIVO SERVIZIO DI ASSISTENZA TECNICA TRIENNALE FULL RISK POST GARANZIA DA DESTINARE ALLA S.S. TERAPIA ANTALGICA DEL POC STABILIMENTO SS.ANNUNZIATA"
"78952148B2","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA DI PROCEDURE PER IL PERIODO 2019-2020 PER IL 'LASER AD ECCIMERI' IN DOTAZIONE ALL'U.O. DI OFTALMOLOGIA I DITTA IVIS TECHNOLOGIES SRL"
"7928744E85","92521000-9","SERVIZI DI MUSEI","SERVIZIO DI ACCOGLIENZA VISITATORI ED ASSISTENZA ALLA VISITA BOOKSHOP BIGLIETTERIA E SORVEGLIAZA PRESSO IL SITO DI BALSIGNANO"
"79380015A6","45213210-8","IMPIANTI FRIGORIFERI","SOSTITUZIONE GRUPPO FRIGO PER GLI IMPIANTI DI CONDIZIONAMENTO A SERVIZIO DELLA FARMACIA AZIENDALE SITA NEL PRESIDIO OO.RR. DI FOGGIA"
"7893585867","85311200-4","SERVIZI DI ASSISTENZA SOCIALE PER DISABILI","ASSISTENZA DOMICILIARE SEMPLICE E INTEGRATA SAD ADI 2019-2020"
"7915343BAB","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","SISTEMA DI MONITORAGGIO IN TEMPO REALE E CONTINUO MINI INVASIVO DEL PROFILO EMODINAMICO  DEL PAZIENTE DA DESTINARE ALLA S.C. ANESTESIA, RIANIMAZIONE E TIPO"
"79361985C4","33680000-0","ARTICOLI DI FARMACIA","PROCEDURA NEGOZIATA TELEMATICA AI SENSI DELL'ART. 63 COMMA2, LETT. B) DEL D.LGS 50/2016 E SMI  PER L'AFFIDAMENTO DELLA FORNITURA DEL FARMACO FOSFOMICINA SODICA 2GR E 4GR PER IL PERIODO DI ANNI 1"
"78918207E1","71330000-0","VARI SERVIZI DI INGEGNERIA","PROCEDURA APERTA TELEMATICA EMPULIA PER L'AFFIDAMENTO DEL SERVIZIO DI DIREZIONE LAVORI LAVORI RELATIVI AGLI INTERVENTI PER ADEGUAMENTO ALLE NORME TECNICHE DI PREVENZIONE INCENDI AI SENSI DEL D.M. 19/03/2015 DEL P.O. M. GIANNUZZI DI MARTINA FRANCA"
"78077073A4","85312100-0","SERVIZI DI CENTRI DIURNI","AFFIDAMENTO CENTRO AP.POL.  MINORI LE RADICI E LE ALI"
"79043636B1","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI RIQUALIFICAZIONE DELLA STRUTTURA DENOMINATA 'TERZO LOTTO' PER L'ALLOCAZIONE DEI REPARTI DI PNEUMOLOGIA OSPEDALIERA ED UNIVERSITARIA"
"7937918129","45213210-8","IMPIANTI FRIGORIFERI","SOSTITUZIONE DI UN GRUPPO FRIGO PER L'IMPIANTO DI CLIMATIZZAZIONE A SERVIZIO DEL PRONTO SOCCORSO SITO AL PIANO TERRA DEL MONOBLOCCO DEL PRESIDIO OO.RR. DI FOGGIA"
"79469438D1","33680000-0","ARTICOLI DI FARMACIA","FORNITURAB URGENTE FARMACO ESCLUSIVO (PER CONTINUITÀ TERAPEUTICA) SAIZEN  VARI DOSAGGI E FORMULAZIONI - MERCK SERONO SPA"
"7939130953","33680000-0","ARTICOLI DI FARMACIA","PROCEDURA NEGOZIATA TELEMATICA AI SENSI DELL'ART. 63 COMMA 2 , LETT B ) E C) DEL D.LGS 50/2016  PER L' AFFIDAMENTO DELLA FORNITURA DEL FARMACO KANUMA 2 MG/ML"
"7913770997","64110000-0","SERVIZI POSTALI","SERVIZIO POSTALE PER LA CORRISPONDENZA DEL COMUNE DI PUTIGNANO"
"7887795E56","80580000-3","ORGANIZZAZIONE DI CORSI DI LINGUE","PROCEDURA NEGOZIATA EX ART. 36, COMMA 2, LET. B), DEL D.LGS. N. 50/2016, AVENTE AD OGGETTO LA REALIZZAZIONE DI UN CORSO DI LINGUA INGLESE A FAVORE DEL PERSONALE MILITARE DELLA GUARDIA DI FINANZA FINANZIATO NELLAMBITO DEL PROTOCOLLO DINTESA TRA REGIONE PUGLIA E COMANDO REGIONALE PUGLIA DELLA GUARDIA DI FINANZA"
"79467433C7","75251120-7","SERVIZI DI LOTTA CONTRO GLI INCENDI FORESTALI","CAMPAGNA ANTINCENDIO BOSCHIVO ANNO 2019"
"7901715D7C","45262522-6","LAVORI EDILI","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DEI LAVORI DI MANUTENZIONE STRAORDINARIA CONSISTENTI NEL RIFACIMENTO DEL MANTO ERBOSO E RELATIVA RECINZIONE DEL CAMPO POLIFUNZIONALE DEL COLLEGIO DELL'ANDRO IN BARI "
"7916278F40","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI MANUTENZIONE STRAORDINARIA DELL'IMPIANTO SPORTIVO PALAPANUNZIO"
"7919051F9A","66510000-8","SERVIZI ASSICURATIVI","PROCEDURA NEGOZIATA IN MODALITÀ TELEMATICA  PER L’AFFIDAMENTO DEI SERVIZI DI COPERTURA ASSICURATIVA. SERVIZI ASSICURATIVI PER POLIZZE: - ALL RISKS PROPERTY; - ELETTRONICA; - FURTO; -LIBRO MATRICOLA "
"7787774269","92521200-1","SERVIZI DI SALVAGUARDIA DI REPERTI E OGGETTI ESPOSTI","CONCESSIONE DELLA GESTIONE INTEGRATA DEI SERVIZI DEL MUSEO CIVICO ARCHEOLOGICO E DELL"
"792739554D","90513000-6","SERVIZI DI TRATTAMENTO E SMALTIMENTO DI RIFIUTI URBANI E DOMESTICI NON PERICOLOSI","SERVIZIO COMPLETO DI RITIRO, TRASPORTO, ESTRAZIONE DELLA COMPONENTE RICICLABILE/RIUTILIZZABILE E SMALTIMENTO O AVVIO A RECUPERO PRESSO IMPIANTI AUTORIZZATI DEI RIFIUTI INGOMBRANTI RACCOLTI PRESSO IL C.C.R. GESTITO DA AMIU PER IL COMUNE DI TRANI"
"7891437BD0","72322000-8","SERVIZI DI GESTIONE DATI","SERVIZIO SUPPORTO TECNICO INFORMATICO TRIBUTI MINORI"
"788280152B","72611000-6","SERVIZI DI ASSISTENZA TECNICA INFORMATICA","AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA TECNICA(IMAC) E MANUTENZIONE DELLE POSTAZIONI DI LAVORO (PDL)"
"78199570AA","45454100-5","LAVORI DI RESTAURO","INTERVENTO DI RESTAURO CONSERVATIVO E DI ADEGUAMENTO IMPIANTISTICO DEL COMPLESSO IMMOBILIARE 'KURSAAL SANTALUCIA' DI PROPRIETÀ REGIONALE"
"7922346EB9","33690000-3","MEDICINALI VARI","LOTTO 1:FORNITURA QUADRIENNALE DI N. 2.800 FL/FLC PER SOSPENSIONE ENDOVESCICALE  DI 'BACILLO CALMETTE-GUERIN (BCG)'. GARA 1/7/2019."
"787147637C","79995100-6","SERVIZI DI ARCHIVIAZIONE","GARA EUROPEA A PROCEDURA APERTA TELEMATICA, EX ARTT.58 E 60 DEL D.LGS. N. 50/2016, PER L'AFFIDAMENTO DEL SERVIZIO DI ARCHIVIAZIONE, CUSTODIA E GESTIONE DELLA DOCUMENTAZIONE SANITARIA E AMMINISTRATIVA DELL'A.O.U.C. POLICLINICO DI BARI."
"7891782885","71330000-0","VARI SERVIZI DI INGEGNERIA","PROCEDURA APERTA TELEMATICA EMPULIA PER L'AFFIDAMENTO DEL SERVIZIO DI DIREZIONE LAVORI  LAVORI RELATIVI AGLI INTERVENTI PER ADEGUAMENTO ALLE NORME TECNICHE  DI PREVENZIONE INCENDI AI SENSI DEL D.M. 19/03/2015 DEL P.O. M. GIANNUZZI DI MANDURIA"
"789546797A","45331220-4","LAVORI DI INSTALLAZIONE DI IMPIANTI DI CLIMATIZZAZIONE","LAVORI DI RIQUALIFICAZIONE DELL'IMPIANTO DI CLIMATIZZAZIONE DELLE SALE OPERATORIE DEL PTA DI FASANO"
"79072683FA","45233223-8","LAVORI DI RIFACIMENTO DI MANTO STRADALE","MANUTENZIONE STRAORDINARIA STRADE E SPAZI PUBBLICI "
"7914532E68","45454000-4","LAVORI DI RISTRUTTURAZIONE","ADEGUAMENTO LOCALI ANNESSI ALLA CAMERA MORTUARIA DEL P.O. VITO FAZZI."
"7889666658","45233141-9","LAVORI DI MANUTENZIONE STRADALE","LOTTO 2 MANUTENZIONE STRAORDINARIA DELLE STRADE E DEI MARCIAPIEDI DELLA CITTÀ ZONA LEVANTE - MEZZOGIORNO"
"791958691B","33122000-1","ATTREZZATURE PER OFTALMOLOGIA","FORNITURA DI ATTREZZATURE DI OCULISTICA E RELATIVO SERVIZIO DI ASSISTENZA TECNICA PER LE NECESSITÀ DELLA S.S. DI DAY SERVICE DI OCULISTICA DEL P.O. VALLE D'ITRIA"
"78871119E3","60172000-4","NOLEGGIO DI AUTOBUS E PULLMAN CON AUTISTA","AFFIDAMENTO DEL SERVIZIO DI TRASPORTO SCOLASTICO "
"7913967C28","45236230-1","LAVORI DI SUPERFICIE PER GIARDINI","LAVORI DI RIQUALIFICAZIONE AREA A VERDE NEL COMPARTO DI ESPANSIONE N. 9"
"7883694618","45213350-1","LAVORI DI COSTRUZIONE DI EDIFICI PER MEZZI DI TRASPORTO VARI","AFFIDAMENTO DEI LAVORI DI REALIZZAZIONE DI UNA VELOSTAZIONE"
